"Name","NA_Sales","Year","Genre"
"¡shin chan flipa en colores!","0","2007","Platform"
".hack: sekai no mukou ni + versus","0","2012","Action"
".hack//g.u. vol.1//rebirth","0","2006","Role-Playing"
".hack//g.u. vol.2//reminisce","0.11","2006","Role-Playing"
".hack//g.u. vol.2//reminisce (jp sales)","0","2006","Role-Playing"
".hack//g.u. vol.3//redemption","0","2007","Role-Playing"
".hack//infection part 1","0.49","2002","Role-Playing"
".hack//link","0","2010","Role-Playing"
".hack//mutation part 2","0.23","2002","Role-Playing"
".hack//outbreak part 3","0.14","2002","Role-Playing"
".hack//quarantine part 4: the final chapter","0.09","2003","Role-Playing"
"'98 koshien","0.15","1998","Sports"
"[prototype 2]","0.48","2012","Action"
"[prototype]","0.84","2009","Action"
"007 racing","0.3","2000","Racing"
"007: quantum of solace","0.82","2008","Action"
"007: the world is not enough","1.13","2000","Action"
"007: tomorrow never dies","1.72","1999","Shooter"
"1 vs. 100","0.08","2008","Misc"
"1/2 summer +","0","2013","Adventure"
"10 minute solution","0.06","2010","Sports"
"100 all-time favorites","0.35","2009","Puzzle"
"100 classic books","0.13","2008","Misc"
"100 classic games","0","2011","Misc"
"1000 cooking recipes from elle à table","0","2010","Misc"
"1001 touch games","0.12","2011","Action"
"101-in-1 explosive megamix","0.05","2008","Puzzle"
"101-in-1 party megamix wii","0.19","2009","Misc"
"101-in-1 sports megamix","0.08","2010","Sports"
"101-in-1 sports party megamix","0.02","2010","Sports"
"1080°: teneighty snowboarding","1.25","1998","Sports"
"11eyes: crossover","0","2009","Adventure"
"12-sai. honto no kimochi","0","2014","Adventure"
"12-sai. koisuru diary","0","2016","Adventure"
"12riven: the psi-climinal of integral","0","2008","Adventure"
"15 days","0","2009","Adventure"
"1701 a.d.","0","2006","Simulation"
"18 wheeler: american pro trucker","0.2","2001","Racing"
"18 wheels of steel: extreme trucker","0","2009","Racing"
"18 wheels of steel: extreme trucker 2","0.08","2011","Racing"
"187: ride or die","0.07","2005","Racing"
"1942","0.65","1985","Shooter"
"2 games in 1 double pack: hot wheels velocity x / hot wheels world race","0.09","2005","Racing"
"2 games in 1 double pack: the incredibles / finding nemo: the continuing adventures","1.26","2007","Action"
"2 games in 1: disney princess & the lion king","1.25","2004","Misc"
"2 games in 1: disney's brother bear / the lion king 1 1/2","0.22","2005","Action"
"2 games in 1: sonic advance & chuchu rocket!","1.31","2005","Misc"
"2 games in 1: sonic battle & chuchu rocket!","0.44","2005","Misc"
"2 games in 1: sonic pinball party & columns crown","0.04","2005","Misc"
"2 games in 1: spongebob squarepants: supersponge & rugrats go wild","0.33","2005","Platform"
"2 in 1 combo pack: sonic heroes / super monkey ball deluxe","0.4","2004","Misc"
"2-in-1 game pack: spider-man & spider-man 2","0.06","2005","Platform"
"2002 fifa world cup","0.21","2002","Sports"
"2010 fifa world cup south africa","0.3","2010","Sports"
"2014 fifa world cup brazil","0.15","2014","Sports"
"24: the game","0.15","2006","Adventure"
"25 to life","0.35","2006","Shooter"
"2xtreme","1.15","1996","Sports"
"3 in 1: solitaire, mahjong & tangram","0","2010","Misc"
"300: march to glory","0.27","2007","Action"
"3d baseball","0.02","1996","Sports"
"3d dot game heroes","0.36","2009","Role-Playing"
"3d lemmings","0.03","1995","Puzzle"
"3d tank warfare simulator panzer front","0.06","1999","Simulation"
"3ds classic collection","0.02","2016","Misc"
"3rd super robot wars z jigoku hen","0","2014","Role-Playing"
"3rd super robot wars z: tengoku-hen","0","2015","Action"
"3xtreme","0.5","1999","Action"
"4 elements","0","2009","Puzzle"
"4 game fun pack: monopoly / boggle / yahtzee / battleship","0.11","2005","Misc"
"4 nin uchi mahjong","0","1984","Misc"
"40 winks","0.17","1999","Platform"
"428: fuusa sareta shibuya de","0","2009","Adventure"
"4x4 evo 2","0.18","2001","Racing"
"4x4 evolution","0.16","2001","Racing"
"50 cent: blood on the sand","0.12","2009","Shooter"
"50 cent: bulletproof","0.85","2005","Action"
"50 classic games","0.52","2009","Misc"
"64 de hakken! tamagotchi minna de tamagotchi world","0","1997","Misc"
